ticket_id,ticket_text,issue_type,urgency_level,product,clean_text
91,Order #70536 for PowerMax Battery is 4 days late. Ordered on 01 May.,Late Delivery,unknown,PowerMax Battery,order powermax battery day late order may
92,I ordered  but got SoundWave 300 instead. My order number is #93122.,Wrong Item,Medium,PhotoSnap Cam,order get soundwave instead order number
93,I ordered SmartWatch V2 but got ProTab X1 instead. My order number is #76301.,Wrong Item,High,SmartWatch V2,order smartwatch v get protab x instead order number
94,Facing installation issue with PowerMax Battery. Setup fails at step 1.,Installation Issue,Low,PowerMax Battery,face installation issue powermax battery setup fail step
95,Order #84203 for Vision LED TV is 5 days late. Ordered on 30 April.,Late Delivery,High,Vision LED TV,order vision lead tv day late order april
96,Facing installation issue with PowerMax Battery. Setup fails at step 6. Delivery expected by 04 May.,Installation Issue,Medium,PowerMax Battery,face installation issue powermax battery setup fail step delivery expect may
97,"Can you tell me more about teh ProTab X1 warranty? Also, is it available in white?",General Inquiry,High,ProTab X1,tell teh protab x warranty also available white
98,Can't log in to my account. Keeps showing blocked. Help!,Account Access,Medium,SoundWave 300,log account keep show block help
99,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in black?",General Inquiry,Medium,SmartWatch V2,tell smartwatch v warranty also available black
100,Facing installation issue with SoundWave 300. Setup fails at step 4.,Installation Issue,Medium,SoundWave 300,face installation issue soundwave setup fail step
101,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,Medium,UltraClean Vacuum,log account keep show unknown issue help
102,"Can you tell me more about the ProTab X1 warranty? Also, is it available in blue?",General Inquiry,High,ProTab X1,tell protab x warranty also available blue
103,Payment problem for order #77517. Need urgent help.,Billing Problem,High,UltraClean Vacuum,payment problem order need urgent help
104,Payment issue for my PowerMax Battery. I was charged twice for order #97621.,Billing Problem,High,PowerMax Battery,payment issue powermax battery charge twice order
105,"Can you tell me more about teh ProTab X1 warranty? Also, is it available in black? Also, I contacted support on 28 April but got no response.",unknown,Low,ProTab X1,tell teh protab x warranty also available black also contact support april get response
106,Payment issue for my ProTab X1. I was underbilled for order #71399. Delivery expected by 30 March.,Billing Problem,High,ProTab X1,payment issue protab x underbilled order delivery expect march
107,Order #36632 for EcoBreeze AC is 15 days late. Ordered on 13 May.,Late Delivery,High,EcoBreeze AC,order ecobreeze ac day late order may
108,Payment issue fr mi SmartWatch V2. I was debited incorrectly fr order #98192.,Billing Problem,Low,SmartWatch V2,payment issue fr mi smartwatch v debit incorrectly fr order
109,"Can you tell me more about the EcoBreeze AC warranty? Also, is it available in white?",General Inquiry,unknown,EcoBreeze AC,tell ecobreeze ac warranty also available white
110,Can't log in to my account. Keeps showing reset required. Help!,unknown,Low,PhotoSnap Cam,log account keep show reset require help
111,Order #28158 for  is 6 days late. Ordered on 05 May.,Late Delivery,Medium,UltraClean Vacuum,order day late order may
112,Can't log in to my account. Keeps showing error. Help!,Account Access,unknown,SoundWave 300,log account keep show error help
113,Is this item in stock?,General Inquiry,High,ProTab X1,item stock
114,Can't log in to mi account. Keeps showing unknown issue. Help!,Account Access,Medium,PowerMax Battery,log mi account keep show unknown issue help
115,I ordered RoboChef Blender but got ProTab X1 instead. My order number is #79479.,Wrong Item,Low,RoboChef Blender,order robochef blender get protab x instead order number
116,Order #85238 for PowerMax Battery is 3 days late. Ordered on 15 April.,Late Delivery,Medium,PowerMax Battery,order powermax battery day late order april
117,"Facing installation issue with Vision LED TV. Setup fails at step 4. Also, I contacted support on 24 April but got no response.",Installation Issue,Low,Vision LED TV,face installation issue vision lead tv setup fail step also contact support april get response
118,Facing installation issue with FitRun Treadmill. Setup fails at step 1. Delivery expected by 19 May.,Installation Issue,Medium,FitRun Treadmill,face installation issue fitrun treadmill setup fail step delivery expect may
119,Vision LED TV is malfunction. It stopped working after just 6 days.,Product Defect,High,Vision LED TV,vision lead tv malfunction stop work day
120,Facing installation issue with UltraClean Vacuum. Setup fails at step 6.,unknown,Medium,UltraClean Vacuum,face installation issue ultraclean vacuum setup fail step
121,Order #55525 for RoboChef Blender is 1 days late. Ordered on 08 March.,Late Delivery,Low,RoboChef Blender,order robochef blender day late order march
122,Payment issue for my . I was overbilled for order #65725.,Billing Problem,High,Vision LED TV,payment issue overbille order
123,"Can you tell me more about the ProTab X1 warranty? Also, is it available in white?",General Inquiry,High,ProTab X1,tell protab x warranty also available white
124,SmartWatch V2 is defective. It stopped working after just 1 days.,Product Defect,High,SmartWatch V2,smartwatch v defective stop work day
125,Vision LED TV is damaged. It stopped working after just 4 days.,unknown,unknown,Vision LED TV,vision lead tv damage stop work day
126,Can't log in to my account. Keeps showing error. Help!,Account Access,High,ProTab X1,log account keep show error help
127,"Can't log in to my account. Keeps showing captcha failed. Help! Also, I contacted support on 06 April but got no response.",Account Access,Low,Vision LED TV,log account keep show captcha fail help also contact support april get response
128,Order #68715 for RoboChef Blender is 17 days late. Ordered on 19 April.,Late Delivery,Low,RoboChef Blender,order robochef blender day late order april
129,Product info needed.,General Inquiry,Medium,FitRun Treadmill,product info need
130,Payment issue for my FitRun Treadmill. I was overbilled for order #17828.,Billing Problem,unknown,FitRun Treadmill,payment issue fitrun treadmill overbille order
131,Facing installation issue with EcoBreeze AC. Setup fails at step 6.,Installation Issue,Low,EcoBreeze AC,face installation issue ecobreeze ac setup fail step
132,"PhotoSnap Cam is glitchy. It stopped working after just 12 days. Also, I contacted support on 29 April but got no response.",Product Defect,High,PhotoSnap Cam,photosnap cam glitchy stop work day also contact support april get response
133,"Payment issue for my SmartWatch V2. I was underbilled for order #94863. Also, I contacted support on 09 April but got no response.",Billing Problem,High,SmartWatch V2,payment issue smartwatch v underbilled order also contact support april get response
134,ProTab X1 is glitchy. It stopped working after just 12 days.,Product Defect,Medium,ProTab X1,protab x glitchy stop work day
135,Order #97549 for ProTab X1 is 5 days late. Ordered on 30 April.,Late Delivery,Medium,ProTab X1,order protab x day late order april
136,Facing installation issue with PhotoSnap Cam. Setup fails at step 6.,Installation Issue,High,PhotoSnap Cam,face installation issue photosnap cam setup fail step
137,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,High,PowerMax Battery,log account keep show captcha fail help
138,"Order #58122 for RoboChef Blender is 9 days late. Ordered on 10 May. Also, I contacted support on 10 May but got no response.",Late Delivery,High,RoboChef Blender,order robochef blender day late order may also contact support may get response
139,Can't log in to my account. Keeps showing reset required. Help!,Account Access,Medium,ProTab X1,log account keep show reset require help
140,Payment issue for my UltraClean Vacuum. I was debited incorrectly for order #76140.,Billing Problem,Medium,UltraClean Vacuum,payment issue ultraclean vacuum debit incorrectly order
142,FitRun Treadmill is charged. It stopped working after just 12 days.,Product Defect,High,FitRun Treadmill,fitrun treadmill charge stop work day
143,Can't log in to my account. Keeps showing error. Help!,Account Access,Low,RoboChef Blender,log account keep show error help
144,I ordered EcoBreeze AC but got UltraClean Vacuum instead. My order number is #97605.,Wrong Item,High,EcoBreeze AC,order ecobreeze ac get ultraclean vacuum instead order number
145,Account problem. Assistance needed.,Account Access,unknown,FitRun Treadmill,account problem assistance need
146,Payment issue for my PowerMax Battery. I was overbilled for order #18696.,Billing Problem,Low,PowerMax Battery,payment issue powermax battery overbille order
147,SmartWatch V2 is no response. It stopped working after just 5 days. Delivery expected by 25 April.,Product Defect,High,SmartWatch V2,smartwatch v response stop work day delivery expect april
148,Vision LED TV is broken. It stopped working after just 1 days.,Product Defect,High,Vision LED TV,vision lead tv break stop work day
149,Facing installation issue with . Setup fails at step 2.,unknown,High,PowerMax Battery,face installation issue setup fail step
150,Order #31364 placed on 15 May still not here.,Late Delivery,High,EcoBreeze AC,order place may still
151,Both my PowerMax Battery and FitRun Treadmill are not received. Both giving issues. Delivery expected by 16 April.,Product Defect,Low,PowerMax Battery,powermax battery fitrun treadmill receive give issue delivery expect april
152,Both my PhotoSnap Cam and Vision LED TV are faulty. Both giving issues.,Product Defect,High,PhotoSnap Cam,photosnap cam vision lead tv faulty give issue
153, is not working. It stopped working after just 12 days.,Product Defect,High,ProTab X1,work stop work day
154,"Can you tell me more about the ProTab X1 warranty? Also, is it available in blue?",General Inquiry,unknown,ProTab X1,tell protab x warranty also available blue
155,"Payment issue for my . I was not refunded for order #59838. Also, I contacted support on 14 May but got no response.",Billing Problem,Low,FitRun Treadmill,payment issue refund order also contact support may get response
156,"Can you tell me more about teh EcoBreeze AC warranty? Also, is it available in black?",General Inquiry,Low,EcoBreeze AC,tell teh ecobreeze ac warranty also available black
157,Order #58051 for RoboChef Blender is 16 days late. Ordered on 07 March.,Late Delivery,High,RoboChef Blender,order robochef blender day late order march
158,Payment issue for my EcoBreeze AC. I was charged twice for order #26025.,Billing Problem,Low,EcoBreeze AC,payment issue ecobreeze ac charge twice order
159,Order #40339 for PhotoSnap Cam is 13 days late. Ordered on 25 April.,Late Delivery,Low,PhotoSnap Cam,order photosnap cam day late order april
160,Payment issue fr mi RoboChef Blender. I was charged twice fr order #81706.,Billing Problem,Medium,RoboChef Blender,payment issue fr mi robochef blender charge twice fr order
161,Order #90105 for UltraClean Vacuum is 1 days late. Ordered on 03 March.,Late Delivery,Low,UltraClean Vacuum,order ultraclean vacuum day late order march
162,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Low,SoundWave 300,log account keep show captcha fail help
163,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Low,Vision LED TV,log account keep show captcha fail help
164,"Can you tell me more about the ProTab X1 warranty? Also, is it available in white?",General Inquiry,Low,ProTab X1,tell protab x warranty also available white
165,"Can you tell me more about the PowerMax Battery warranty? Also, is it available in red?",General Inquiry,High,PowerMax Battery,tell powermax battery warranty also available red
166,"Account problem. Assistance needed. Also, I contacted support on 12 March but got no response.",Account Access,Medium,PowerMax Battery,account problem assistance need also contact support march get response
167,"Can't log in to my account. Keeps showing error. Help! Also, I contacted support on 23 March but got no response.",Account Access,Low,PowerMax Battery,log account keep show error help also contact support march get response
168,"Order #58396 for PowerMax Battery is 16 days late. Ordered on 03 April. Also, I contacted support on 03 April but got no response.",Late Delivery,High,PowerMax Battery,order powermax battery day late order april also contact support april get response
169,Payment issue for my SoundWave 300. I was not refunded for order #45749.,Billing Problem,High,SoundWave 300,payment issue soundwave refund order
170,Payment issue for my Vision LED TV. I was debited incorrectly for order #63168.,Billing Problem,High,Vision LED TV,payment issue vision lead tv debit incorrectly order
171,Account problem. Assistance needed.,Account Access,High,FitRun Treadmill,account problem assistance need
172,"Can you tell me more about the EcoBreeze AC warranty? Also, is it available in blue?",General Inquiry,Low,EcoBreeze AC,tell ecobreeze ac warranty also available blue
173,Order #84031 for SmartWatch V2 is 6 days late. Ordered on 04 March.,unknown,Low,SmartWatch V2,order smartwatch v day late order march
174,"Received wrong product, order mixed up.",Wrong Item,Medium,EcoBreeze AC,receive wrong product order mix
175,Can't log in to mi account. Keeps showing unknown issue. Help!,Account Access,Medium,EcoBreeze AC,log mi account keep show unknown issue help
176,Is this item in stock? Delivery expected by 05 May.,General Inquiry,Medium,SoundWave 300,item stock delivery expect may
177,Can't log in to my account. Keeps showing reset required. Help!,Account Access,High,SoundWave 300,log account keep show reset require help
178,"Can't access my account. Also, I contacted support on 12 May but got no response.",Account Access,High,SmartWatch V2,access account also contact support may get response
179,Order #34198 for SmartWatch V2 is 15 days late. Ordered on 05 March.,Late Delivery,Medium,SmartWatch V2,order smartwatch v day late order march
180,Facing installation issue with SoundWave 300. Setup fails at step 4.,Installation Issue,Low,SoundWave 300,face installation issue soundwave setup fail step
181,Facing installation issue with RoboChef Blender. Setup fails at step 6.,Installation Issue,Low,RoboChef Blender,face installation issue robochef blender setup fail step
182,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in red? Also, I contacted support on 16 March but got no response.",General Inquiry,High,SmartWatch V2,tell smartwatch v warranty also available red also contact support march get response
183,Can't log in to my account. Keeps showing reset required. Help!,Account Access,High,Vision LED TV,log account keep show reset require help
184,Payment issue for my FitRun Treadmill. I was overbilled for order #81052.,Billing Problem,High,FitRun Treadmill,payment issue fitrun treadmill overbille order
185,"I ordered SmartWatch V2 but got PowerMax Battery instead. My order number is #37056. Also, I contacted support on 06 May but got no response.",Wrong Item,Low,SmartWatch V2,order smartwatch v get powermax battery instead order number also contact support may get response
186,PowerMax Battery is not working. It stopped working after just 5 days.,Product Defect,Low,PowerMax Battery,powermax battery work stop work day
187,Order #35506 for EcoBreeze AC is 8 days late. Ordered on 27 March.,Late Delivery,High,EcoBreeze AC,order ecobreeze ac day late order march
188,RoboChef Blender is malfunction. It stopped working after just 3 days.,Product Defect,High,RoboChef Blender,robochef blender malfunction stop work day
189,Both my PhotoSnap Cam and SoundWave 300 are cracked. Both giving issues. Delivery expected by 17 March.,Product Defect,Medium,PhotoSnap Cam,photosnap cam soundwave crack give issue delivery expect march
190,Facing installation issue with RoboChef Blender. Setup fails at step 2.,Installation Issue,Medium,RoboChef Blender,face installation issue robochef blender setup fail step
191,"Can you tell me more about the UltraClean Vacuum warranty? Also, is it available in red?",General Inquiry,High,UltraClean Vacuum,tell ultraclean vacuum warranty also available red
192,Facing installation issue with Vision LED TV. Setup fails at step 5.,unknown,Medium,Vision LED TV,face installation issue vision lead tv setup fail step
193,I ordered EcoBreeze AC but got PowerMax Battery instead. My order number is #70963.,Wrong Item,Medium,EcoBreeze AC,order ecobreeze ac get powermax battery instead order number
194,Order #86969 for FitRun Treadmill is 16 days late. Ordered on 04 May.,unknown,Low,FitRun Treadmill,order fitrun treadmill day late order may
195,"Payment issue fr mi PhotoSnap Cam. I was not refunded fr order #55921. Also, I contacted support on 09 March but got no response.",Billing Problem,Low,PhotoSnap Cam,payment issue fr mi photosnap cam refund fr order also contact support march get response
196,Vision LED TV is late. It stopped working after just 7 days.,unknown,High,Vision LED TV,vision lead tv late stop work day
197,"Not able to install my product. Also, I contacted support on 09 March but got no response.",Installation Issue,Medium,PowerMax Battery,able install product also contact support march get response
198,I ordered SmartWatch V2 but got SmartWatch V2 instead. My order number is #52790.,unknown,Medium,SmartWatch V2,order smartwatch v get smartwatch v instead order number
199,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,High,PhotoSnap Cam,log account keep show unknown issue help
200,"I ordered UltraClean Vacuum but got UltraClean Vacuum instead. My order number is #31416. Also, I contacted support on 02 April but got no response.",Wrong Item,High,UltraClean Vacuum,order ultraclean vacuum get ultraclean vacuum instead order number also contact support april get response
201,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in red?",General Inquiry,Medium,SmartWatch V2,tell smartwatch v warranty also available red
202,Facing installation issue with . Setup fails at step 3.,Installation Issue,Medium,SmartWatch V2,face installation issue setup fail step
203,Can't log in to my account. Keeps showing reset required. Help!,Account Access,Medium,PhotoSnap Cam,log account keep show reset require help
204,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in blue?",General Inquiry,Medium,FitRun Treadmill,tell fitrun treadmill warranty also available blue
205,"Can you tell me more about the Vision LED TV warranty? Also, is it available in blue? Also, I contacted support on 29 March but got no response.",General Inquiry,High,Vision LED TV,tell vision lead tv warranty also available blue also contact support march get response
206,Facing installation issue with RoboChef Blender. Setup fails at step 5.,Installation Issue,Low,RoboChef Blender,face installation issue robochef blender setup fail step
207,"Can't log in to my account. Keeps showing reset required. Help! Also, I contacted support on 04 May but got no response. Delivery expected by 04 May.",Account Access,Medium,RoboChef Blender,log account keep show reset require help also contact support may get response delivery expect may
208,UltraClean Vacuum is defective. It stopped working after just 1 days.,Product Defect,Low,UltraClean Vacuum,ultraclean vacuum defective stop work day
209,Order #46182 for EcoBreeze AC is 9 days late. Ordered on 19 May.,Late Delivery,Low,EcoBreeze AC,order ecobreeze ac day late order may
210,Facing installation issue with SmartWatch V2. Setup fails at step 1.,Installation Issue,Low,SmartWatch V2,face installation issue smartwatch v setup fail step
211,I ordered  but got SoundWave 300 instead. My order number is #23976.,Wrong Item,High,EcoBreeze AC,order get soundwave instead order number
213,Payment issue for my Vision LED TV. I was debited incorrectly for order #39849.,Billing Problem,Low,Vision LED TV,payment issue vision lead tv debit incorrectly order
